professor_id,name_ko,name_en,university,department,primary_field,openalex_id,source_url,orcid,identity_status,scopus_id
P0269,남아령,Aryung Nam,Konkuk University,수의과대학,Pulmonary and Respiratory Medicine,A5089730140,https://www.konkuk.ac.kr/vet/11136/subview.do#none,0000-0002-3783-8590,verified,
P0270,김무영,Mu Young Kim,Konkuk University,수의과대학,,,https://www.konkuk.ac.kr/vet/11136/subview.do#none,0000-0002-5317-3007,verified,
P0271,이수형,Suhyung Lee,Konkuk University,수의과대학,Nephrology,A5133372113,https://www.konkuk.ac.kr/vet/11136/subview.do#none,,probable,
P0272,강린우,Lin-Woo Kang,Konkuk University,생명과학특성학과,Plant Science,A5054954881,https://biology.konkuk.ac.kr/biology/10864/subview.do#none,0000-0002-1411-3132,verified,
P0273,김동학,Donghak Kim,Konkuk University,생명과학특성학과,"Endocrinology, Diabetes and Metabolism",A5026513276,https://biology.konkuk.ac.kr/biology/10864/subview.do#none,0000-0002-7423-100X,verified,
P0274,윤혜섭,Hye Sup Yun,Konkuk University,생명과학특성학과,Plant Science,A5057805155,https://biology.konkuk.ac.kr/biology/10864/subview.do#none,0000-0003-1070-467X,probable,
P0275,이임순,Im Soon Lee,Konkuk University,생명과학특성학과,Oncology,A5038006412,https://biology.konkuk.ac.kr/biology/10864/subview.do#none,0000-0002-1392-8516,probable,
P0276,이재석,Jaeseok Lee,Konkuk University,생명과학특성학과,,,https://biology.konkuk.ac.kr/biology/10864/subview.do#none,0009-0000-4751-1711,verified,
P0277,한정수,Jung-Soo Han,Konkuk University,생명과학특성학과,Neurology,A5080135133;A5111131115,https://biology.konkuk.ac.kr/biology/10864/subview.do#none,0000-0001-8447-4518,verified,
P0278,배동호,Dong‐Ho Bae,Konkuk University,축산식품생명공학과,Food Science,A5008758518,https://foodbio.konkuk.ac.kr/foodbio/11016/subview.do#none,0000-0002-8076-3758,probable,
P0279,최미정,Mi-Jung Choi,Konkuk University,축산식품생명공학과,Animal Science and Zoology,A5014493578,https://foodbio.konkuk.ac.kr/foodbio/11016/subview.do#none,0000-0002-4370-2366,verified,
P0280,여주동,JuDong Yeo,Konkuk University,축산식품생명공학과,Biochemistry,A5102442929,https://foodbio.konkuk.ac.kr/foodbio/11016/subview.do#none,0009-0009-3419-6850,probable,
P0281,최윤상,Yun Sang Choi,Konkuk University,축산식품생명공학과,Animal Science and Zoology,A5059995518;A5004066506;A5126913630;A5127894753;A5132791953;A5134622421;A5135099420;A5136748161,https://foodbio.konkuk.ac.kr/foodbio/11016/subview.do#none,0000-0001-8060-6237,verified,
P0282,고은영,Eun Young Ko,Konkuk University,축산식품생명공학과,Biochemistry,A5018409052,https://foodbio.konkuk.ac.kr/foodbio/11016/subview.do#none,0000-0003-0133-7003,verified,
P0283,강규영,Kyu-Young Kang,Dongguk University,바이오시스템대학,Biomedical Engineering,A5010226186,https://life.dongguk.edu/professor/list?professor_haggwa_type=PROFH_030,0000-0002-0457-842X,verified,
P0284,최원준,Won Jun Choi,Dongguk University,약학과,Molecular Biology,A5103111249,https://pharm.dongguk.edu/professor/list?professor_haggwa_type=PROFH_057,0000-0002-2342-0468,verified,
P0285,최영희,Young Hee Choi,Dongguk University,약학과,Oncology,A5026860974;A5126046331,https://pharm.dongguk.edu/professor/list?professor_haggwa_type=PROFH_057,0000-0002-9360-6436,verified,
P0286,최창익,Chang‐Ik Choi,Dongguk University,약학과,Pharmacology,A5016494385,https://pharm.dongguk.edu/professor/list?professor_haggwa_type=PROFH_057,0009-0009-7494-3785,probable,
P0287,홍은진,Mary Hong,Dongguk University,약학과,Pulmonary and Respiratory Medicine,A5055583966,https://sites.google.com/view/pharmacometricslab,0000-0002-6696-3948,probable,
P0288,김선정,Sun Jung Kim,Dongguk University,생명과학과,Molecular Biology,A5100785065,https://sites.google.com/dgu.ac.kr/molecular-biology-dongguk,0000-0001-6818-3956,verified,
P0289,장원희,Wonhee Jang,Dongguk University,생명과학과,Molecular Biology,A5016265803,https://sites.google.com/view/dgu-janglab,0000-0003-2470-8137,verified,
P0290,김병혁,Byunghyuk Kim,Dongguk University,생명과학과,Aging,A5069039806,https://sites.google.com/view/kim-lab-neuroscience,0000-0002-2220-4173,verified,
P0291,이민호,Minho Lee,Dongguk University,생명과학과,Molecular Biology,A5100342770;A5127941964;A5136916869,https://lab.minholee.net,0000-0002-0168-9546,verified,
P0292,김태종,Tae-Jong Kim,Kookmin University,임산생명공학과,Molecular Biology,A5051376093,https://cst.kookmin.ac.kr/biotechnology/professor,0000-0002-7483-0432,probable,
P0293,이태주,Tai Ju Lee,Kookmin University,임산생명공학과,Mechanics of Materials,A5137942543,https://cst.kookmin.ac.kr/biotechnology/professor,0009-0008-2953-2795,probable,
P0294,곽민진,Min-Jin Kwak,Kookmin University,임산생명공학과,Molecular Biology,A5108847624,https://cst.kookmin.ac.kr/biotechnology/professor,0000-0001-9832-3251,probable,
P0295,엄수현,Soohyun Um,Kookmin University,임산생명공학과,Pharmacology,A5102249500,https://cst.kookmin.ac.kr/biotechnology/professor,0009-0008-9428-8936,verified,
P0296,오상택,Sangtaek Oh,Kookmin University,융합바이오공학과,Epidemiology,A5027451071,https://cst.kookmin.ac.kr/bio/professor,,probable,
P0297,이영석,Youngseok Lee,Kookmin University,융합바이오공학과,Cellular and Molecular Neuroscience,A5100701672;A5101365056;A5137542307,https://cst.kookmin.ac.kr/bio/professor,0000-0003-0459-1138,verified,
P0298,이인형,Inhyung Lee,Kookmin University,융합바이오공학과,Food Science,A5101731475;A5110625016,https://cst.kookmin.ac.kr/bio/professor,0000-0002-1508-1654,verified,
P0299,곽수량,Suryang Kwak,Kookmin University,융합바이오공학과,Molecular Biology,A5060672032,https://cst.kookmin.ac.kr/bio/professor,0000-0002-5202-8326,probable,
P0300,서주현,Joo-Hyun Seo,Kookmin University,융합바이오공학과,Pharmaceutical Science,A5139341856,https://cst.kookmin.ac.kr/bio/professor,,probable,
P0301,조현열,Hyeon-Yeol Cho,Kookmin University,융합바이오공학과,Molecular Biology,A5039327847;A5007026277,https://cst.kookmin.ac.kr/bio/professor,0000-0003-1897-1166,verified,
P0302,박주환,Juhwan Park,Kookmin University,융합바이오공학과,Biomedical Engineering,A5016356809,https://cst.kookmin.ac.kr/bio/professor,0000-0002-9231-9195,probable,
P0303,손보람,Boram Son,Kookmin University,융합바이오공학과,Biomaterials,A5024847871,https://cst.kookmin.ac.kr/bio/professor,0009-0009-0389-666X,probable,
P0304,이회석,Hoe-Suk Lee,Kookmin University,융합바이오공학과,Biomedical Engineering,A5057591539;A5130293716,https://cst.kookmin.ac.kr/bio/professor,0000-0001-9237-607X,verified,
P0305,이창배,Changbae LEE,Kookmin University,산림환경시스템학과,Ecology,A5078067621,https://cst.kookmin.ac.kr/forest/professor,,probable,
P0306,박지현,Jihyun Park,Kookmin University,산림환경시스템학과,Molecular Biology,A5100338425;A5008552277;A5147035228,https://cst.kookmin.ac.kr/forest/professor,0000-0002-6778-4749,verified,
P0307,윤태경,Tae Kyung Yoon,Kookmin University,산림환경시스템학과,Nature and Landscape Conservation,A5070986223,https://cst.kookmin.ac.kr/forest/professor,0000-0003-0627-0135,probable,
P0308,강유진,Yoojin Kang,Kookmin University,산림환경시스템학과,,A5132990719,https://cst.kookmin.ac.kr/forest/professor,,probable,
P0309,임철희,Chul-Hee Lim,Kookmin University,산림환경시스템학과,Global and Planetary Change,A5066876141,https://cst.kookmin.ac.kr/forest/professor,0000-0001-7752-0694,probable,
P0310,김종성,Jongsung Kim,Kookmin University,정보보안암호수학과,,,https://cst.kookmin.ac.kr/security/professor,0009-0002-6853-3041,verified,
P0311,박원광,Won-Kwang Park,Kookmin University,정보보안암호수학과,Biomedical Engineering,A5064579474;A5112258430,https://cst.kookmin.ac.kr/security/professor,0000-0001-9418-2455,verified,
P0312,오세욱,Se-Wook Oh,Kookmin University,식품영양학과,Biotechnology,A5059476948;A5132714051,https://cst.kookmin.ac.kr/foods_and_nutrion/professor,0000-0002-8580-6032,verified,
P0313,이민아,Min Lee,Kookmin University,식품영양학과,Nutrition and Dietetics,A5102910843;A5128162026,https://cst.kookmin.ac.kr/foods_and_nutrion/professor,0000-0001-7479-9888,verified,
P0314,남혜경,Hye-Kyoung Nam,Kookmin University,식품영양학과,"Endocrinology, Diabetes and Metabolism",A5013894541,https://cst.kookmin.ac.kr/foods_and_nutrion/professor,,probable,
P0315,전수경,Doctor Sookyoung Jeon,Kookmin University,식품영양학과,Biochemistry,A5052436998,https://cst.kookmin.ac.kr/foods_and_nutrion/professor,0000-0002-3620-0851,verified,
