openalex_id,decision
A5068463807,yes
A5100642851,yes
A5101235628,no
A5007222103,yes
A5089200258,no
A5007880310,yes
A5014839787,yes
A5102323160,no
A5019115055,yes
A5086409096,yes
A5005282271,no
A5068365324,no
A5027587527,no
A5031159007,no
A5091560212,no
A5060435018,no
A5041230683,no
