professor_id,name_ko,name_en,university,department,primary_field,openalex_id,source_url,orcid,identity_status,scopus_id
P0045,이미옥,Mi Ok Lee,Seoul National University,College of Pharmacy,Molecular Biology,A5110165134,http://molee.snu.ac.kr,0000-0002-1788-9892,verified,
P0046,이병훈,Byeonghun Lee,Seoul National University,College of Pharmacy,"Radiology, Nuclear Medicine and Imaging",A5032947746,http://bhlee.snu.ac.kr,,probable,
P0047,이승희,Seunghui Lee,Seoul National University,College of Pharmacy,Ecology,A5136323851,https://shleelab.wixsite.com/shleelab,,probable,
P0048,이유정,Youjeong Lee,Seoul National University,College of Pharmacy,Plant Science,A5067936109,https://tcd.snu.ac.kr,0000-0002-8145-9520,probable,
P0049,이인균,Ingyun Lee,Seoul National University,College of Pharmacy,,,https://sites.google.com/view/leelabsnu,0009-0006-8473-6921,verified,
P0050,이재영,Jae‐Young Lee,Seoul National University,College of Pharmacy,Biomaterials,A5100334531;A5130379012;A5137721736,https://bedds.snu.ac.kr/,0000-0002-8093-043X,verified,
P0052,이혁진,H Lee,Seoul National University,College of Pharmacy,Physiology,A5086002768,https://bama.snu.ac.kr/,0009-0000-2403-6241,probable,
P0053,장재봉,Jaebong Jang,Seoul National University,College of Pharmacy,Pulmonary and Respiratory Medicine,A5048760496,https://sites.google.com/view/janglab,0000-0002-7962-3395,probable,
P0054,전상민,S Jeon,Seoul National University,College of Pharmacy,Infectious Diseases,A5072167140,http://idetoxlab.snu.ac.kr,0009-0009-9637-7972,probable,
P0055,진영원,Young‐Won Chin,Seoul National University,College of Pharmacy,Molecular Biology,A5068330340,http://ywchin.snu.ac.kr,0000-0001-6964-1779,verified,
P0056,차혁진,Hyuk‐Jin Cha,Seoul National University,College of Pharmacy,Molecular Biology,A5020752812,https://chahj72.wixsite.com/snucsl,0000-0001-9277-2662,verified,
P0057,구자록,Ja-Lok Ku,Seoul National University,Graduate School of Biomedical Sciences,Pathology and Forensic Medicine,A5001974637;A5126411983,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=2&sc=y,0000-0002-7090-537X,verified,
P0058,권오빈,Obin Kwon,Seoul National University,Graduate School of Biomedical Sciences,Physiology,A5071455227,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=3&sc=y,0000-0002-3702-7202,verified,
P0060,권용태,Yong Tae Kwon,Seoul National University,Graduate School of Biomedical Sciences,Molecular Biology,A5032827509;A5045191700;A5105300396,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=5&sc=y,0000-0002-8115-3150,verified,
P0062,박상민,,Seoul National University,Graduate School of Biomedical Sciences,,,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=16&sc=y,0009-0000-2066-3096,verified,
P0063,박성준,Seongjun Park,Seoul National University,Graduate School of Biomedical Sciences; Bioengineering,Materials Chemistry,A5100777271;A5017942353;A5122170080,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=70&sc=y,0000-0002-1981-9628,verified,
P0064,박정환,Jeong Hwan Park,Seoul National University,Graduate School of Biomedical Sciences,Epidemiology,A5100625452,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=67&sc=y,0000-0003-4522-9928,probable,
P0065,방예지,Ye-Ji Bang,Seoul National University,Graduate School of Biomedical Sciences,Endocrinology,A5033060813,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=65&sc=y,0000-0003-4009-0824,verified,
P0066,배상수,Sangsu Bae,Seoul National University,Graduate School of Biomedical Sciences,Molecular Biology,A5058387827;A5102523296;A5137650360,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=63&sc=y,0000-0003-3615-8566,verified,
P0067,석승혁,Seung Hyeok Seok,Seoul National University,Graduate School of Biomedical Sciences,Immunology,A5060951283,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=20&sc=y,0000-0002-4315-0688,verified,
P0068,성승용,Seung‐Yong Seong,Seoul National University,Graduate School of Biomedical Sciences,Parasitology,A5062435434,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=72&sc=y,0000-0002-3671-1029,verified,
P0069,성지혜,Jihye Seong,Seoul National University,Graduate School of Biomedical Sciences,Cell Biology,A5026656606;A5103534188,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=69&sc=y,0000-0001-8450-3315,verified,
P0071,염진기,Jinki Yeom,Seoul National University,Graduate School of Biomedical Sciences,Genetics,A5078633080,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=24&sc=y,0000-0002-5332-2658,verified,
P0074,이원령,Wonryung Lee,Seoul National University,Graduate School of Biomedical Sciences,Biomedical Engineering,A5010464805,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=74&sc=y,0000-0003-0527-023X,verified,
P0075,이원우,Won-Woo Lee,Seoul National University,Graduate School of Biomedical Sciences,Immunology,A5061831347,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=31&sc=y,0000-0002-5347-9591,verified,
P0076,장성호,Sunghoe Chang,Seoul National University,Graduate School of Biomedical Sciences,Cell Biology,A5046016624,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=35&sc=y,0000-0002-3446-7288,verified,
P0077,전주홍,Ju‐Hong Jeon,Seoul National University,Graduate School of Biomedical Sciences,Sensory Systems,A5023662947;A5125715026,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=55&sc=y,0000-0002-5603-2955,verified,
P0078,정기훈,Keehoon Jung,Seoul National University,Graduate School of Biomedical Sciences,Cardiology and Cardiovascular Medicine,A5012765342,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=56&sc=y,0000-0002-2199-5292,verified,
P0079,정두현,Doo Hyun Chung,Seoul National University,Graduate School of Biomedical Sciences,Pulmonary and Respiratory Medicine,A5070181255,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=57&sc=y,0000-0002-9948-8485,verified,
P0080,조남혁,Nam-Hyeok Cho,Seoul National University,Graduate School of Biomedical Sciences,Infectious Diseases,A5109733656,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=39&sc=y,,probable,
P0081,조성엽,,Seoul National University,Graduate School of Biomedical Sciences,,,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=40&sc=y,0009-0006-7566-2019,verified,
P0083,최형진,Hyung Jin Choi,Seoul National University,Graduate School of Biomedical Sciences,Orthopedics and Sports Medicine,A5081889848,http://biomed.snu.ac.kr/research-faculty/faculty?mode=view&profidx=48&sc=y,0000-0003-0593-6978,verified,
