professor_id,name_ko,name_en,university,department,primary_field,openalex_id,source_url,collaborator_count,faculty_trainee_count,postdoc_PI_count,network_score
P0001,도준상,junsang doh,seoul national university,공과대학,면역항암,A5086462999,https://bmie.snu.ac.kr/,2,0,0,2
P0002,서상우,sangwoo seo,seoul national university,공과대학,합성생물학,A5066692256,https://seolab.snu.ac.kr/,1,0,0,1
P0003,서형석,hyungseok Seo,seoul national university,약학대학,세포치료,A5102852128,https://cgt.snu.ac.kr/home,0,0,0,0
P0004,김원종,wonjong kim,postech,화학과,의료용 고분자,A5068130767,http://bmpl.postech.ac.kr/,0,0,0,0
P0005,김성은,seongeun kim,kookmin university,화학과,체외면역 평가,A5100694945,https://cite.kookmin.ac.kr/cite/index.do,1,0,0,1
