openalex_id,display_name,shared_paper_count,seed_connection_count,connected_seed_professor_ids,institutions,country_codes,korea_affiliated,review_priority,example_work,review_status,current_affiliation,affiliation_source,scholar_affiliation,scholar_profile_url,scholar_email,scholar_cited_by,openalex_last_known_affiliation,current_country_codes,academic_affiliation_signal,pi_title_signal,bio_relevance_signal,affiliation_conflict_warning,triage_score,triage_tier,triage_reason,human_decision,web_title,web_snippet,web_url,official_domain_signal,professor_title_signal,trainee_title_signal,auto_decision,auto_confidence,auto_reason,suggested_decision
A5100429324,Sung‐Hoon Kim,198,40,P0020; P0025; P0028; P0029; P0031; P0040; P0057; P0083; P0090; P0093; P0098; P0100; P0102; P0107; P0201; P0203; P0209; P0211; P0216; P0236; P0252; P0253; P0254; P0255; P0284; P0285; P0291; P0337; P0364; P0481; P0486; P0540; P0564; P0589; P0722; P0727; P0730; P0731; P0759; P0768,Advanced Institute of Convergence Technology; Biocon (Switzerland); Biotechnology Research Institute; CHA University; Cancer Research Center; Cancer Research Institute; Cheil General Hospital and Women's Healthcare Center; Creative Research; Dankook University; Dong-A University; Ewha Womans University; Gangnam Severance Hospital; Government of the Republic of Korea; Hanlim Pharm (South Korea); Hanyang University; Hormel (United States); Institute of Molecular Biology; Keimyung University; Konkuk University; Konkuk University Medical Center; Korea Research Institute of Bioscience and Biotechnology; Korea Research Institute of Chemical Technology; Korea University; Korea University of Science and Technology; Kyung Hee University; Kyungpook National University; National University College; New Generation University College; Sahmyook University; Samsung Medical Center; Seoul Medical Center; Seoul National University; Seoul National University Bundang Hospital; Seoul National University of Science and Technology; Sungkyunkwan University; Suwon Research Institute; University of Minnesota; Yonsei University,AM; CA; CH; ET; GB; KR; PR; US,yes,315,Patient-Specific Orthotopic Glioblastoma Xenograft Models Recapitulate the Histopathology and Biology of Human Glioblastomas In Situ,needs_review,Biocon (Switzerland); Yonsei University; Kyung Hee University; Gangnam Severance Hospital,openalex_last_known,,,,,Biocon (Switzerland); Yonsei University; Kyung Hee University; Gangnam Severance Hospital,CH; KR,yes,no,yes,no,210,A_review_first,strong collaboration signal + academic affiliation + bio relevance,,,,,no,no,no,,0.82,"strong network signal, but no explicit professor title evidence",review
A5100335103,Young Ho Kim,65,36,P0028; P0038; P0040; P0042; P0050; P0055; P0060; P0090; P0114; P0145; P0205; P0214; P0278; P0306; P0312; P0346; P0349; P0358; P0371; P0384; P0445; P0447; P0471; P0484; P0597; P0625; P0682; P0684; P0693; P0731; P0732; P0759; P0764; P0779; P0782; P0806,Asan Medical Center; Catholic University of Korea; Chungnam National University; Daejeon University; Ewha Womans University; Government of the Republic of Korea; Inje University; Kangbuk Samsung Hospital; Keimyung University; Konkuk University; Konyang University; Korea Basic Science Institute; Korea Food Research Institute; Korea Research Institute of Bioscience and Biotechnology; Korea University; Kosin University; Kwangju Christian Hospital; Kyungpook National University; National Cancer Center; National University; New Generation University College; Nuovo Ospedale San Giovanni di Dio; SNUH SMG-SNU Boramae Medical Center; Samsung Medical Center; Seoul Metropolitan Government; Seoul National University; Seoul National University Hospital; Severance Hospital; Sookmyung Women's University; Sungkyunkwan University; University of Ulsan; Yonsei University,ET; IT; KR; US,yes,170,Allelic imbalance of somatic mutations in cancer genomes and transcriptomes,needs_review,Chungnam National University; Material Physics Center; Naval Research Laboratory Materials Science and Technology Division,openalex_last_known,,,,,Chungnam National University; Material Physics Center; Naval Research Laboratory Materials Science and Technology Division,ES; KR,yes,no,yes,no,190,A_review_first,strong collaboration signal + academic affiliation + bio relevance,,,,,no,no,no,,0.82,"strong network signal, but no explicit professor title evidence",review
A5033254577,Sun Hee Sung,70,34,P0285; P0317; P0319; P0322; P0325; P0326; P0342; P0349; P0350; P0354; P0355; P0359; P0365; P0376; P0384; P0393; P0394; P0403; P0407; P0408; P0409; P0414; P0422; P0428; P0434; P0435; P0440; P0442; P0444; P0445; P0456; P0689; P0729; P0768,Dongwha Pharm (South Korea); Ewha Womans University; Ewha Womans University Medical Center; Ewha Womans University Mokdong Hospital; Seoul National University Bundang Hospital; Seoul National University Hospital,KR,yes,169,Feasibility of Classification of Triple Negative Breast Cancer by Immunohistochemical Surrogate Markers,needs_review,Ewha Womans University; Ewha Womans University Mokdong Hospital,openalex_last_known,,,,,Ewha Womans University; Ewha Womans University Mokdong Hospital,KR,yes,no,yes,no,180,A_review_first,strong collaboration signal + academic affiliation + bio relevance,,,,,no,no,no,,0.82,"strong network signal, but no explicit professor title evidence",review
A5039821208,Eun‐Hee Ha,158,29,P0079; P0317; P0319; P0327; P0334; P0335; P0337; P0347; P0349; P0351; P0354; P0364; P0365; P0391; P0393; P0407; P0408; P0409; P0422; P0424; P0430; P0434; P0438; P0444; P0446; P0453; P0517; P0573; P0739,Asan Medical Center; Dankook University; Eulji University; Ewha Womans University; Ewha Womans University Medical Center; Ewha Womans University Mokdong Hospital; Ewha Womans University Seoul Hospital; General Department of Preventive Medicine; Hanyang University; Inha University; Inje University Ilsan Paik Hospital; Korea Advanced Institute of Science and Technology; Kyung Hee University; National Cancer Center; National Research Foundation of Korea; National University College; Research Network (United States); Rosalind Franklin University of Medicine and Science; Seoul Metropolitan Government; Seoul National University; The University of Tokyo; U.S. National Science Foundation; Ulsan College; Ulsan University Hospital; University of Ulsan; inVentiv Health Clinical,CA; JP; KR; PR; US; VN,yes,242,Inhaled corticosteroids in COPD and the risk of lung cancer,needs_review,Ewha Womans University; Ewha Womans University Medical Center,openalex_last_known,,,,,Ewha Womans University; Ewha Womans University Medical Center,KR,yes,no,yes,no,155,A_review_first,strong collaboration signal + academic affiliation + bio relevance,,,,,no,no,no,,0.82,"strong network signal, but no explicit professor title evidence",review
A5100608883,Kyung‐Hee Kim,60,28,P0007; P0040; P0042; P0057; P0090; P0097; P0161; P0211; P0250; P0256; P0257; P0265; P0342; P0359; P0365; P0404; P0422; P0439; P0444; P0456; P0525; P0538; P0605; P0609; P0699; P0703; P0729; P0730,Cancer Hospital of Chinese Academy of Medical Sciences; Cancer Research Institute; Catholic University of Korea; Charles R. Drew University of Medicine and Science; Chinese Academy of Medical Sciences & Peking Union Medical College; Chungnam National University; Dankook University; Eulji University; Ewha Womans University; Ewha Womans University Medical Center; Incheon National University; Kangnam University; Konkuk University; Korea Forest Service; Korea National Institute of Health; Korea University; National Cancer Center; National University; New Generation University College; Samsung Medical Center; Seoul National University; Sungkyunkwan University; University of Suwon,CN; ET; KR; US,yes,141,Interaction between Tie receptors modulates angiogenic activity of angiopoietin2 in endothelial progenitor cells,needs_review,Florida State University; Kookmin University; Emory University; Chungnam National University; Korea Polar Research Institute; Ajou University,openalex_last_known,,,,,Florida State University; Kookmin University; Emory University; Chungnam National University; Korea Polar Research Institute; Ajou University,KR; US,yes,no,yes,no,150,A_review_first,strong collaboration signal + academic affiliation + bio relevance,,,,,no,no,no,,0.82,"strong network signal, but no explicit professor title evidence",review
A5057807816,Je Kyung Seong,48,27,P0011; P0028; P0032; P0033; P0034; P0036; P0040; P0091; P0115; P0141; P0157; P0257; P0267; P0277; P0279; P0291; P0337; P0404; P0414; P0451; P0496; P0498; P0716; P0757; P0762; P0771; P0813,Cancer Research Institute; Columbia University; Creative Research; Hallym University; Konkuk University; National University College; New Generation University College; Research Institute for Veterinary Science; Seoul National University; Yonsei University,ET; GB; KR; PR; US,yes,126,"Hepatitis B virus X protein induces the expression of MTA1 and HDAC1, which enhances hypoxia signaling in hepatocellular carcinoma cells",needs_review,Seoul National University; Cancer Research Institute; Creative Research; National University College; Research Institute for Veterinary Science,openalex_last_known,,,,,Seoul National University; Cancer Research Institute; Creative Research; National University College; Research Institute for Veterinary Science,GB; KR; PR; US,yes,no,yes,no,145,A_review_first,strong collaboration signal + academic affiliation + bio relevance,,,,,no,no,no,,0.82,"strong network signal, but no explicit professor title evidence",review
A5089673584,Sung-Ae Jung,209,26,P0201; P0317; P0319; P0330; P0351; P0355; P0356; P0359; P0361; P0384; P0388; P0393; P0408; P0424; P0428; P0444; P0445; P0446; P0453; P0482; P0509; P0562; P0596; P0597; P0620; P0689,Asan Medical Center; Baewha Women's University; Bio-Medical Science (South Korea); Dankook University; Dongwha Pharm (South Korea); Eulji University; Ewha Womans University; Ewha Womans University Medical Center; Ewha Womans University Mokdong Hospital; Ewha Womans University Seoul Hospital; Jeju National University; Medical Research Institute; Seoul National University; Soonchunhyang University Hospital Seoul; Ulsan College; University of Ulsan,KR; LK,yes,284,Suppressive effect of α-mangostin for cancer stem cells in colorectal cancer via the Notch pathway,needs_review,Ewha Womans University,openalex_last_known,,,,,Ewha Womans University,KR,yes,no,yes,no,140,A_review_first,strong collaboration signal + academic affiliation + bio relevance,,,,,no,no,no,,0.82,"strong network signal, but no explicit professor title evidence",review
A5033086793,Sang Kook Lee,107,26,P0028; P0032; P0034; P0035; P0036; P0038; P0040; P0042; P0044; P0055; P0056; P0057; P0079; P0205; P0211; P0216; P0231; P0284; P0295; P0430; P0486; P0492; P0564; P0625; P0690; P0799,CHA University; Ewha Womans University; Korea Research Institute of Chemical Technology; National Institute of Diabetes and Digestive and Kidney Diseases; National Institutes of Health; National University College; New Generation University College; Pusan National University; Samsung Medical Center; Seoul National University; Seoul National University Hospital; Sungkyunkwan University,ET; KR; PR; US,yes,182,Targeting Nicotinamide N-Methyltransferase and miR-449a in EGFR-TKI-Resistant Non-Small-Cell Lung Cancer Cells,needs_review,Ulsan College; Seoul National University; Yonsei University; Severance Hospital; Asan Medical Center; Samsung Medical Center; New Generation University College; University of Ulsan; National University; Pusan National University Hospital; National University College; Sungkyunkwan University,openalex_last_known,,,,,Ulsan College; Seoul National University; Yonsei University; Severance Hospital; Asan Medical Center; Samsung Medical Center; New Generation University College; University of Ulsan; National University; Pusan National University Hospital; National University College; Sungkyunkwan University,ET; KR; PR; SD,yes,no,yes,no,140,A_review_first,strong collaboration signal + academic affiliation + bio relevance,,,,,no,no,no,,0.82,"strong network signal, but no explicit professor title evidence",review
A5100371180,Hyun Wook Kim,81,25,P0006; P0028; P0030; P0042; P0076; P0090; P0114; P0123; P0159; P0254; P0288; P0411; P0429; P0493; P0602; P0612; P0619; P0733; P0734; P0742; P0745; P0746; P0766; P0774; P0777,Boston University; Chungbuk National University; Daegu Gyeongbuk Institute of Science and Technology; Dongguk University; GeneMatrix (South Korea); Inje University; Inje University Ilsan Paik Hospital; Institute for Basic Science; Jeonju University; Korea Advanced Institute of Science and Technology; Korea Institute of Brain Science; Korea Institute of Science and Technology; Korea Research Institute of Bioscience and Biotechnology; Korea University; Korean Association Of Science and Technology Studies; Pohang University of Science and Technology; Samsung Medical Center; Seoul National University; Seoul National University Hospital; Ulsan National Institute of Science and Technology; University of Brain Education; Yonsei University,JP; KR; US,yes,153,Symmetry Breaking of Human Pluripotent Stem Cells (hPSCs) in Micropattern Generates a Polarized Spinal Cord‐Like Organoid (pSCO) with Dorsoventral Organization,needs_review,Harvard University; Korea University; Gwangju Institute of Science and Technology; Jaseng Medical Foundation,openalex_last_known,,,,,Harvard University; Korea University; Gwangju Institute of Science and Technology; Jaseng Medical Foundation,KR; US,yes,no,yes,no,135,A_review_first,strong collaboration signal + academic affiliation + bio relevance,,,,,no,no,no,,0.82,"strong network signal, but no explicit professor title evidence",review
A5100614827,Jin‐Man Kim,49,25,P0028; P0034; P0040; P0060; P0083; P0088; P0104; P0205; P0251; P0265; P0281; P0334; P0493; P0536; P0550; P0574; P0622; P0631; P0670; P0673; P0699; P0731; P0734; P0745; P0760,Chonnam National University; Chonnam National University Hospital; Chungbuk National University; Chungnam National University; Chungnam National University Hospital; Creative Research; In-Q-Tel; Jeonbuk National University; Kangwon National University; Kansas State University; Keimyung University; Konkuk University; Konyang University; Korea Advanced Institute of Science and Technology; Korea Basic Science Institute; Korea Research Institute of Bioscience and Biotechnology; Kyungpook National University; Lotte Fine Chemical (South Korea); Rockefeller University; Samsung Medical Center; Seoul National University; Seoul National University of Science and Technology; Sungkyunkwan University; University of Southern California; Yeungnam University; Yeungnam University College; Yonsei University,GB; KR; US,yes,121,Hippo-mediated suppression of IRS2/AKT signaling prevents hepatic steatosis and liver cancer,needs_review,Konyang University; Yonsei University; Severance Hospital; Asan Medical Center; Kyungpook National University; Konyang University Hospital; Chungnam National University Hospital,openalex_last_known,,,,,Konyang University; Yonsei University; Severance Hospital; Asan Medical Center; Kyungpook National University; Konyang University Hospital; Chungnam National University Hospital,KR,yes,no,yes,no,135,A_review_first,strong collaboration signal + academic affiliation + bio relevance,,,,,no,no,no,,0.82,"strong network signal, but no explicit professor title evidence",review
