openalex_id,display_name,shared_paper_count,seed_connection_count,connected_seed_professor_ids,institutions,country_codes,korea_affiliated,review_priority,example_work,review_status
A5073677422,Minah Suh,2,1,P0001,Institute for Basic Science; Samsung (South Korea); Sungkyunkwan University,KR,yes,2,dNP2 is a blood–brain barrier-permeable peptide enabling ctCTLA-4 protein delivery to ameliorate experimental autoimmune encephalomyelitis,needs_review
A5111215585,In-Ae Park,2,1,P0001,Pohang University of Science and Technology; Seoul National University,KR,yes,2,Microfluidic Cell Stretching for Highly Effective Gene Delivery into Hard-to-Transfect Primary Cells,needs_review
A5020717208,Aram J. Chung,2,1,P0001,Korea University; STR Biotech (South Korea),JP; KR,yes,2,Microfluidic Cell Stretching for Highly Effective Gene Delivery into Hard-to-Transfect Primary Cells,needs_review
A5049700978,Ha-Ram Park,2,1,P0001,Seoul National University,KR,yes,2,Anti-tumor effects of NK cells and anti-PD-L1 antibody with antibody-dependent cellular cytotoxicity in PD-L1-positive cancer cell lines,needs_review
A5100350588,Soyeon Kim,2,1,P0001,Biomedical Research Institute; Pohang University of Science and Technology; Seoul National University; Seoul National University Hospital,KR; US,yes,2,Anti-tumor effects of NK cells and anti-PD-L1 antibody with antibody-dependent cellular cytotoxicity in PD-L1-positive cancer cell lines,needs_review
A5111046380,Miso Kim,2,1,P0001,Seoul National University; Seoul National University Hospital,KR,yes,2,Anti-tumor effects of NK cells and anti-PD-L1 antibody with antibody-dependent cellular cytotoxicity in PD-L1-positive cancer cell lines,needs_review
A5100719069,Tae Min Kim,2,1,P0001,Seoul National University; Seoul National University Hospital,KR,yes,2,Anti-tumor effects of NK cells and anti-PD-L1 antibody with antibody-dependent cellular cytotoxicity in PD-L1-positive cancer cell lines,needs_review
A5100638261,Dong‐Wan Kim,2,1,P0001,Seoul National University; Seoul National University Hospital,KR,yes,2,Anti-tumor effects of NK cells and anti-PD-L1 antibody with antibody-dependent cellular cytotoxicity in PD-L1-positive cancer cell lines,needs_review
A5024891671,Dae Seog Heo,2,1,P0001,Seoul National University; Seoul National University Hospital,KR,yes,2,Anti-tumor effects of NK cells and anti-PD-L1 antibody with antibody-dependent cellular cytotoxicity in PD-L1-positive cancer cell lines,needs_review
A5101686279,Seong Eun Kim,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Cationic Nanoparticle-Mediated Activation of Natural Killer Cells for Effective Cancer Immunotherapy,needs_review
A5075962780,Wooram Park,2,1,P0001,Catholic University of Korea,KR,yes,2,Cationic Nanoparticle-Mediated Activation of Natural Killer Cells for Effective Cancer Immunotherapy,needs_review
A5014715024,Chun Gwon Park,2,1,P0001,Sungkyunkwan University,KR,yes,2,T‐Cell‐Derived Nanovesicles for Cancer Immunotherapy,needs_review
A5004493776,Minhyeok Chang,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Formation of cellular close-ended tunneling nanotubes through mechanical deformation,needs_review
A5061574889,Jaeho Oh,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Formation of cellular close-ended tunneling nanotubes through mechanical deformation,needs_review
A5033453546,Jong‐Bong Lee,2,1,P0001,Asia Pacific Center for Theoretical Physics; Pohang University of Science and Technology,KR,yes,2,Formation of cellular close-ended tunneling nanotubes through mechanical deformation,needs_review
A5090627047,Keondo Lee,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,"User-friendly image-activated microfluidic cell sorting technique using an optimized, fast deep learning algorithm",needs_review
A5020648634,Wan Kyun Chung,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,"User-friendly image-activated microfluidic cell sorting technique using an optimized, fast deep learning algorithm",needs_review
A5088140886,Yungyeong Lee,2,1,P0001,Seoul National University,KR,yes,2,A Water‐Soluble Organic Photocatalyst Discovered for Highly Efficient Additive‐Free Visible‐Light‐Driven Grafting of Polymers from Proteins at Ambient and Aqueous Environments,needs_review
A5037387745,Yonghwan Kwon,2,1,P0001,Seoul National University; Ulsan National Institute of Science and Technology,KR,yes,2,A Water‐Soluble Organic Photocatalyst Discovered for Highly Efficient Additive‐Free Visible‐Light‐Driven Grafting of Polymers from Proteins at Ambient and Aqueous Environments,needs_review
A5068411122,Changhoon Yu,2,1,P0001,Seoul National University,KR,yes,2,A Water‐Soluble Organic Photocatalyst Discovered for Highly Efficient Additive‐Free Visible‐Light‐Driven Grafting of Polymers from Proteins at Ambient and Aqueous Environments,needs_review
A5024933039,Min Sang Kwon,2,1,P0001,Seoul National University,KR,yes,2,A Water‐Soluble Organic Photocatalyst Discovered for Highly Efficient Additive‐Free Visible‐Light‐Driven Grafting of Polymers from Proteins at Ambient and Aqueous Environments,needs_review
A5063117541,Seongmin An,2,1,P0001,Seoul National University,KR,yes,2,Spatiotemporally modulated full-polarized light emission for multiplexed optical encryption,needs_review
A5069444992,Sungjee Kim,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Gold Nanoparticle‐Carrying T Cells for the Combined Immuno‐Photothermal Therapy,needs_review
A5008459970,Pil J. Yoo,2,1,P0001,Pohang University of Science and Technology; Sungkyunkwan University; University of Pennsylvania,KR; US,yes,2,One-Step Generation of Multifunctional Polyelectrolyte Microcapsules via Nanoscale Interfacial Complexation in Emulsion (NICE),needs_review
A5049499414,Min‐Gon Kim,2,1,P0001,Korea Research Institute of Bioscience and Biotechnology,KR,yes,2,Addressable Micropatterning of Multiple Proteins and Cells by Microscope Projection Photolithography Based on a Protein Friendly Photoresist,needs_review
A5031159007,Sooseok Im,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Harnessing the Formation of Natural Killer–Tumor Cell Immunological Synapses for Enhanced Therapeutic Effect in Solid Tumors,needs_review
A5055484623,Gurusamy Saravanakumar,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Harnessing the Formation of Natural Killer–Tumor Cell Immunological Synapses for Enhanced Therapeutic Effect in Solid Tumors,needs_review
A5100765314,Junseok Lee,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Harnessing the Formation of Natural Killer–Tumor Cell Immunological Synapses for Enhanced Therapeutic Effect in Solid Tumors,needs_review
A5005282271,Zung Yoon Yang,2,1,P0001,Cell Biotech (South Korea),KR,yes,2,Harnessing the Formation of Natural Killer–Tumor Cell Immunological Synapses for Enhanced Therapeutic Effect in Solid Tumors,needs_review
A5100825336,Sanha Jeong,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Simple and Sensitive Point‐of‐Care Bioassay System Based on Hierarchically Structured Enzyme‐Mimetic Nanoparticles,needs_review
A5000166018,Mi Hyun Kang,2,1,P0001,Pusan National University,KR,yes,2,Simple and Sensitive Point‐of‐Care Bioassay System Based on Hierarchically Structured Enzyme‐Mimetic Nanoparticles,needs_review
A5010509853,Moon Il Kim,2,1,P0001,Gachon University; Pohang University of Science and Technology,KR,yes,2,Simple and Sensitive Point‐of‐Care Bioassay System Based on Hierarchically Structured Enzyme‐Mimetic Nanoparticles,needs_review
A5068736163,Ilwoong Hwang,2,1,P0001,Konkuk University; Konkuk University Chungju Hospital; Seoul National University; Soonchunhyang University Hospital Seoul,KR,yes,2,Expansion of cytotoxic natural killer cells in multiple myeloma patients using K562 cells expressing OX40 ligand and membrane-bound IL-18 and IL-21,needs_review
A5016058053,Eunseop Yeom,2,1,P0001,Pusan National University,KR,yes,2,Microfluidic system for monitoring temporal variations of hemorheological properties and platelet adhesion in LPS-injected rats,needs_review
A5052658114,Woorak Choi,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Microfluidic system for monitoring temporal variations of hemorheological properties and platelet adhesion in LPS-injected rats,needs_review
A5052327459,Jaejung Song,2,1,P0001,Pohang University of Science and Technology; Ulsan National Institute of Science and Technology,KR,yes,2,Super-resolution visible photoactivated atomic force microscopy,needs_review
A5102828545,Seungjun Shin,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Super-resolution visible photoactivated atomic force microscopy,needs_review
A5091718941,Chulhong Kim,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Super-resolution visible photoactivated atomic force microscopy,needs_review
A5112430169,Tae-Jin Kim,2,1,P0001,Korea University,JP; KR,yes,2,Homotypic NK cell-to-cell communication controls cytokine responsiveness of innate immune NK cells,needs_review
A5102101736,Hyoseok Nam,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Combined two-photon microscopy and optical coherence tomography using individually optimized sources,needs_review
A5067474457,Sang June Yoon,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Combined two-photon microscopy and optical coherence tomography using individually optimized sources,needs_review
A5033806635,Taejun Wang,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Combined two-photon microscopy and optical coherence tomography using individually optimized sources,needs_review
A5103220316,Seung Kwon Koh,2,1,P0001,Samsung (South Korea); Sungkyunkwan University,KR,yes,2,Natural Killer Cell Expansion and Cytotoxicity Differ Depending on the Culture Medium Used,needs_review
A5047503871,Soo Yun Lee,2,1,P0001,Korea Research Institute of Bioscience and Biotechnology; Korea University,KR,yes,2,NgR1 is an NK cell inhibitory receptor that destabilizes the immunological synapse,needs_review
A5100669495,Sun‐Young Lee,2,1,P0001,Korea Research Institute of Bioscience and Biotechnology; Korea University,KR,yes,2,NgR1 is an NK cell inhibitory receptor that destabilizes the immunological synapse,needs_review
A5008335740,In‐Sun Chu,2,1,P0001,Korea Research Institute of Bioscience and Biotechnology; Korea University of Science and Technology,KR,yes,2,NgR1 is an NK cell inhibitory receptor that destabilizes the immunological synapse,needs_review
A5053048037,Haiyoung Jung,2,1,P0001,Korea Research Institute of Bioscience and Biotechnology; Korea University of Science and Technology; Pohang University of Science and Technology,KR,yes,2,NgR1 is an NK cell inhibitory receptor that destabilizes the immunological synapse,needs_review
A5045141916,Byung Ik Park,2,1,P0001,New Generation University College; Seoul National University,ET; KR,yes,2,An implantable ionic therapeutic platform for photodynamic therapy with wireless capacitive power transfer,needs_review
A5037602360,Hong Nam Kim,2,1,P0001,Bio-Medical Science (South Korea); Korea Institute of Brain Science; Korea Institute of Science and Technology; Korea University of Science and Technology; Korean Association Of Science and Technology Studies; Yonsei University,KR,yes,2,Imaging‐Based Efficacy Evaluation of Cancer Immunotherapy in Engineered Tumor Platforms and Tumor Organoids,needs_review
A5039227242,J.‐K. KIM,2,1,P0001,New Generation University College; Seoul National University,ET; KR,yes,2,Enzyme‐Regulated Extended Swelling of Hydrogels for Dehiscence‐Less Tissue Expansions,needs_review
A5100749353,Sung Ho Park,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Variation in wall shear stress in channel networks of zebrafish models,needs_review
A5003253588,Dabin Lee,2,1,P0001,Chung-Ang University,KR,yes,2,Dual‐Enhanced Nanohybrids for Synergistic Photothermal and Photodynamic Therapy in Cancer Treatment with Immune Checkpoint Inhibitors,needs_review
A5023606306,Jieun Bang,2,1,P0001,Ewha Womans University,KR,yes,2,Dual‐Enhanced Nanohybrids for Synergistic Photothermal and Photodynamic Therapy in Cancer Treatment with Immune Checkpoint Inhibitors,needs_review
A5036063261,Tae‐Young Heo,2,1,P0001,Hongik University,KR,yes,2,Dual‐Enhanced Nanohybrids for Synergistic Photothermal and Photodynamic Therapy in Cancer Treatment with Immune Checkpoint Inhibitors,needs_review
A5110602134,Duong Pham,2,1,P0001,Chung-Ang University,KR,yes,2,Dual‐Enhanced Nanohybrids for Synergistic Photothermal and Photodynamic Therapy in Cancer Treatment with Immune Checkpoint Inhibitors,needs_review
A5057958713,Jong Dae Jang,2,1,P0001,Korea Atomic Energy Research Institute,KR,yes,2,Dual‐Enhanced Nanohybrids for Synergistic Photothermal and Photodynamic Therapy in Cancer Treatment with Immune Checkpoint Inhibitors,needs_review
A5109265611,Young Soo Han,2,1,P0001,Korea Atomic Energy Research Institute,KR,yes,2,Dual‐Enhanced Nanohybrids for Synergistic Photothermal and Photodynamic Therapy in Cancer Treatment with Immune Checkpoint Inhibitors,needs_review
A5075090081,Tae Joo Shin,2,1,P0001,Ulsan National Institute of Science and Technology,KR,yes,2,Dual‐Enhanced Nanohybrids for Synergistic Photothermal and Photodynamic Therapy in Cancer Treatment with Immune Checkpoint Inhibitors,needs_review
A5028179772,Soo‐Hyung Choi,2,1,P0001,Hongik University,KR,yes,2,Dual‐Enhanced Nanohybrids for Synergistic Photothermal and Photodynamic Therapy in Cancer Treatment with Immune Checkpoint Inhibitors,needs_review
A5100628910,Jaehong Park,2,1,P0001,Chung-Ang University; Ewha Womans University,KR,yes,2,Dual‐Enhanced Nanohybrids for Synergistic Photothermal and Photodynamic Therapy in Cancer Treatment with Immune Checkpoint Inhibitors,needs_review
A5101793549,Juhyun Park,2,1,P0001,Chung-Ang University; Ewha Womans University,KR,yes,2,Dual‐Enhanced Nanohybrids for Synergistic Photothermal and Photodynamic Therapy in Cancer Treatment with Immune Checkpoint Inhibitors,needs_review
A5033258964,Seung‐Hyun Jun,2,1,P0001,Korea University,KR,yes,2,Ethanol‐Dispersed Polymer Nanofibers as a Highly Selective Cell Isolation and Release Platform for CD4+ T Lymphocytes,needs_review
A5108496008,Hyo Jin An,2,1,P0001,Korea University,KR,yes,2,Ethanol‐Dispersed Polymer Nanofibers as a Highly Selective Cell Isolation and Release Platform for CD4+ T Lymphocytes,needs_review
A5091837577,Byoung Chan Kim,2,1,P0001,Korea Institute of Science and Technology,KR,yes,2,Ethanol‐Dispersed Polymer Nanofibers as a Highly Selective Cell Isolation and Release Platform for CD4+ T Lymphocytes,needs_review
A5058510701,Chung Hee Sonn,2,1,P0001,Korea University,KR,yes,2,Ethanol‐Dispersed Polymer Nanofibers as a Highly Selective Cell Isolation and Release Platform for CD4+ T Lymphocytes,needs_review
A5056333341,Jungbae Kim,2,1,P0001,Korea University; Kyung Hee University,KR,yes,2,Ethanol‐Dispersed Polymer Nanofibers as a Highly Selective Cell Isolation and Release Platform for CD4+ T Lymphocytes,needs_review
A5041230683,Andrew Choi,2,1,P0001,Pohang University of Science and Technology,KR,yes,2,Synthesis of Poly(N-isopropylacrylamide) Janus Microhydrogels for Anisotropic Thermo-responsiveness and Organophilic/Hydrophilic Loading Capability,needs_review
A5029400227,Inhae Kim,2,1,P0002,Pohang University of Science and Technology,KR,yes,2,Predictive design of mRNA translation initiation region to control prokaryotic translation efficiency,needs_review
A5065315891,Ilyas Kabimoldayev,2,1,P0002,Kyung Hee University,KR,yes,2,Systematic discovery of uncharacterized transcription factors in Escherichia coli K-12 MG1655,needs_review
A5043581759,Hojung Nam,2,1,P0002,Gwangju Institute of Science and Technology,KR,yes,2,Systems assessment of transcriptional regulation on central carbon metabolism by Cra and CRP,needs_review
A5057879843,Sungyeon Jang,2,1,P0002,Pohang University of Science and Technology,KR,yes,2,Design and optimization of genetically encoded biosensors for high-throughput screening of chemicals,needs_review
A5103282246,Chae Won Kang,2,1,P0002,Pohang University of Science and Technology,KR,yes,2,Vibrio sp. dhg as a platform for the biorefinery of brown macroalgae,needs_review
A5055104158,Sun‐Woong Kang,2,1,P0002,Hanyang University,KR,yes,2,Apatite‐coated poly(lactic‐co‐glycolic acid) microspheres as an injectable scaffold for bone tissue engineering,needs_review
A5082993847,Han‐Saem Cho,2,1,P0002,Pohang University of Science and Technology,KR,yes,2,Predictive combinatorial design of mRNA translation initiation regions for systematic optimization of gene expression levels,needs_review
A5100678933,Jong Moon Park,2,1,P0002,Pohang University of Science and Technology,KR,yes,2,Predictive combinatorial design of mRNA translation initiation regions for systematic optimization of gene expression levels,needs_review
A5014776088,Jihye Choi,2,1,P0002,Seoul National University,KR,yes,2,dCas9-mediated Nanoelectrokinetic Direct Detection of Target Gene for Liquid Biopsy,needs_review
A5005780244,Seong‐Ho Baek,2,1,P0002,Seoul National University,KR,yes,2,dCas9-mediated Nanoelectrokinetic Direct Detection of Target Gene for Liquid Biopsy,needs_review
A5089090600,Hee Chan Kim,2,1,P0002,Seoul National University Hospital,KR,yes,2,dCas9-mediated Nanoelectrokinetic Direct Detection of Target Gene for Liquid Biopsy,needs_review
A5061232003,Jong‐Hee Chae,2,1,P0002,Seoul National University Hospital,KR,yes,2,dCas9-mediated Nanoelectrokinetic Direct Detection of Target Gene for Liquid Biopsy,needs_review
A5100416704,Jong Min Kim,2,1,P0002,Kyung Hee University,KR,yes,2,Si-quantum-dot heterojunction solar cells with 16.2% efficiency achieved by employing doped-graphene transparent conductive electrodes,needs_review
A5057869475,Young Seoub Park,2,1,P0002,Pohang University of Science and Technology,KR,yes,2,Design of 5′-untranslated region variants for tunable expression in Escherichia coli,needs_review
A5051365211,Dong‐Myung Kim,2,1,P0002,Chungnam National University,KR,yes,2,Design of 5′-untranslated region variants for tunable expression in Escherichia coli,needs_review
A5043195268,Jinyoung Kim,2,1,P0002,Seoul National University,KR,yes,2,Synthetic biology tools for engineering Corynebacterium glutamicum,needs_review
A5012013227,Hyeon Jin Kim,2,1,P0002,Seoul National University,KR,yes,2,Synthetic biology tools for engineering Corynebacterium glutamicum,needs_review
A5028951283,Suhyung Cho,2,1,P0002,Korea Advanced Institute of Science and Technology,KR,yes,2,Revealing Causes for False-Positive and False-Negative Calling of Gene Essentiality in Escherichia coli Using Transposon Insertion Sequencing,needs_review
A5043426085,Junyeob Kim,2,1,P0002,Seoul National University,KR,yes,2,Lipid extract derived from newly isolated Rhodotorula toruloides LAB-07 for cosmetic applications,needs_review
A5100650673,Hojun Lee,2,1,P0002,Seoul National University,KR,yes,2,Engineering Yarrowia lipolytica for the production of β-carotene by carbon and redox rebalancing,needs_review
A5038024416,Yungyu Lee,2,1,P0002,Seoul National University,KR,yes,2,Natural transformation of Vibrio natriegens with large genetic cluster enables alginate assimilation for isopentenol production,needs_review
A5083241424,Mincheol Choi,2,1,P0002,Seoul National University,KR,yes,2,Natural transformation of Vibrio natriegens with large genetic cluster enables alginate assimilation for isopentenol production,needs_review
A5005684758,Dongyeop Baek,2,1,P0002,Pohang University of Science and Technology,KR,yes,2,Generation of a Vibrio-based platform for efficient conversion of raffinose through Adaptive Laboratory Evolution on a solid medium,needs_review
A5090932874,Hah Young Yoo,2,1,P0002,Kwangwoon University; Sangmyung University,KR,yes,2,Efficient Production of Naringin Acetate with Different Acyl Donors via Enzymatic Transesterification by Lipases,needs_review
A5066311715,Sung Won Cho,2,1,P0002,Seoul National University,KR,yes,2,Multiplexed CRISPR base editing enables pulse-activated irreversible biocontainment of engineered bacteria,needs_review
A5101893715,Joon Young Park,2,1,P0002,Ulsan National Institute of Science and Technology,KR,yes,2,Model-driven experimental design workflow expands understanding of regulatory role of Nac in Escherichia coli,needs_review
A5109551833,Chang Uk Choi,2,1,P0002,Wonkwang University,KR,yes,2,The Comparison of Punctoplasty and Silicone Tube Intubation in Patients with Punctal Obstruction,needs_review
A5071392810,Youngsoon Um,2,1,P0002,Korea Institute of Science and Technology; Korea Military Academy; Korea University of Science and Technology,KR,yes,2,Undefined xylose media extracted from biorefinery waste for enhanced and eco‐friendly production of cephalosporin C by Acremonium chrysogenum M35,needs_review
A5025929674,Ina Bang,2,1,P0002,Ulsan National Institute of Science and Technology,KR,yes,2,Integrated Tn-seq and MAGE-assisted rapid genome engineering targeting in Escherichia coli,needs_review
A5109103981,Su Jin Song,2,1,P0002,Hanyang University,KR,yes,2,Synthesis and Characterization of Polyethylenimine-Graft-Poly(L-Lactide-Co-Glycolide) Block Copolymers for Gene Delivery,needs_review
A5103473970,Cha Yong Choi,2,1,P0002,Seoul National University,KR,yes,2,Synthesis and Characterization of Polyethylenimine-Graft-Poly(L-Lactide-Co-Glycolide) Block Copolymers for Gene Delivery,needs_review
A5100777271,Seongjun Park,2,1,P0002,New Generation University College; Seoul National University,ET; KR,yes,2,"Transcriptional profiling of probiotic Escherichia coli Nissle 1917 under multiple environmental stresses: Simulated microgravity, microaerobic, and co-culture conditions",needs_review
A5066822186,Hyeonwoo Mun,2,1,P0002,National University; New Generation University College; Seoul National University,ET; KR; SD,yes,2,RegB/A-dependent redox regulation links iron uptake to methanol metabolism in Methylomonas sp. DH-1,needs_review
A5068365324,Ki-Young Choi,2,1,P0003,Cellid (South Korea); NovaCell Technology (South Korea),KR,yes,2,IL-21-mediated reversal of NK cell exhaustion facilitates anti-tumour immunity in MHC class I-deficient tumours,needs_review
A5027587527,Taegwon Oh,2,1,P0003,Cellid (South Korea); NovaCell Technology (South Korea),KR,yes,2,IL-21-mediated reversal of NK cell exhaustion facilitates anti-tumour immunity in MHC class I-deficient tumours,needs_review
A5101944598,Jeong-Won Choi,2,1,P0003,Seoul National University; Seoul National University of Science and Technology,KR,yes,2,Activation of NKT Cells in an Anti-PD-1–Resistant Tumor Model Enhances Antitumor Immunity by Reinvigorating Exhausted CD8 T Cells,needs_review
